Abs(f18) "f2*(f20 - Abs(f18))/f0"
0.298411 -2.239247
0.826518 -4.512203
0.155894 -2.023871
0.032196 -1.326086
0.099486 -1.175773
0.244659 -1.798163
0.311686 -2.252353
0.789606 -4.478328
0.149574 -2.017704
0.040550 -1.334394
0.116112 -1.192495
0.252966 -1.806246
0.325179 -2.265671
0.750957 -4.442630
0.142325 -2.010626
0.048104 -1.341908
0.126423 -1.202779
0.245486 -1.798929
0.338979 -2.279298
0.714617 -4.409018
0.130493 -1.999097
0.060915 -1.354677
0.231841 -1.785600
0.365394 -2.305428
0.640002 -4.340178
0.032481 -1.908325
0.223635 -1.519438
0.395049 -1.473235
0.064080 -1.629629
0.622984 -2.567958
0.314791 -4.019915
0.078936 -1.964583
0.310757 -1.615589
0.417800 -1.505985
0.285514 -1.865153
0.447236 -2.426615
0.858067 -4.559837
0.290915 -2.179789
0.216251 -1.305593
0.801691 -2.372555
0.396607 -2.369932
0.906992 -4.587004
0.056374 -1.936515
0.252052 -1.552117
0.567179 -1.649283
0.179769 -1.749367
0.246879 -3.945067
0.010981 -1.894952
0.232465 -1.534887
0.994920 -2.080656
0.032359 -1.607640
0.611730 -2.573672
0.254444 -3.934521
0.172745 -2.053683
0.362474 -1.665880
0.869501 -1.957284
0.191516 -1.776726
0.015876 -1.991156
0.268921 -3.946092
0.093251 -1.970405
0.377896 -1.678111
0.965856 -2.052959
0.177148 -1.746948
0.281911 -3.962513
0.113635 -1.987584
0.312728 -1.612032
0.818581 -1.904113
0.092824 -1.665019
0.657829 -2.617494
0.012665 -3.688871
2.316271 -4.203116
1.799574 -3.131744
4.388733 -5.695438
0.167171 -1.724193
0.801408 -2.738550
0.102499 -3.734214
1.331975 -3.234716
7.427353 -9.152544
10.616429 -12.607201
0.105390 -1.646633
0.686826 -2.596928
0.102280 -3.692673
0.085850 -1.959627
0.093347 -1.389165
0.237876 -1.315094
0.194494 -1.755787
0.402887 -2.348932
0.445262 -4.150461
0.024214 -1.913147
0.245617 -1.552088
0.413875 -1.501936
0.171239 -1.758796
0.606481 -2.597334
0.876054 -4.588535
0.003958 -1.912427
0.154105 -1.480850
0.643482 -1.744491
0.824382 -2.441486
0.995509 -3.002059
4.675152 -8.406367
2.003036 -3.918932
0.066845 -1.371609
0.551005 -1.635174
0.274120 -1.848875
0.552889 -2.518047
4.422937 -8.188015
0.120362 -2.001890
0.253461 -1.556070
0.611897 -1.696236
0.232742 -1.808360
0.727979 -2.698166
3.591168 -7.285675
0.690054 -2.582971
0.248144 -1.558890
0.275860 -1.364471
0.306735 -1.886506
0.648035 -2.623569
0.425943 -4.098881
0.171589 -2.045565
0.200283 -1.498484
0.686108 -1.766508
0.366671 -1.930487
0.573767 -2.528633
0.193042 -3.886043
0.270120 -2.141324
0.149315 -1.448364
0.510563 -1.592134
0.032113 -1.604116
0.491478 -2.449843
0.270189 -3.945220
4.588936 -6.575912
2.539292 -3.785126
0.330197 -1.399356
0.228443 -1.777450
0.764293 -2.685581
0.204901 -3.819340
1.639391 -3.540328
0.232405 -1.509188
0.410157 -1.474655
0.082653 -1.618348
0.525025 -2.429807
0.047330 -3.632505
0.175787 -2.044183
0.017133 -1.310816
0.054752 -1.130959
0.366429 -1.919397
0.133472 -2.078837
0.828812 -4.508901
0.023381 -1.914404
0.264180 -1.572485
0.487522 -1.577709
0.103740 -1.694281
0.902728 -2.897617
0.704212 -4.432358
0.203114 -2.114022
0.579056 -1.915261
0.222414 -1.332849
1.136816 -2.763206
1.094125 -3.130070
0.111070 -3.859519
2.757318 -4.732677
1.175728 -2.508247
0.474543 -1.562045
6.078250 -7.755044
0.598272 -2.571415
3.699924 -7.494185
3.524458 -5.453317
0.219992 -1.524016
0.615867 -1.701259
5.536549 -7.141151
0.873927 -2.848122
5.191642 -8.919829
1.700941 -3.580544
0.178085 -1.492087
1.156584 -2.251211
1.022491 -2.590061
0.498127 -2.478821
0.512718 -4.197088
0.346608 -2.219656
0.088562 -1.388747
0.693722 -1.775795
0.512495 -2.076834
0.497637 -2.457792
0.142345 -3.850590
0.334405 -2.210172
0.102423 -1.405167
0.530741 -1.616289
0.400029 -2.368442
0.383176 -4.087226
0.609760 -2.475638
2.205751 -3.476246
0.913595 -2.041283
0.404736 -1.962189
1.074780 -3.005811
0.296370 -3.939505
1.789637 -3.682614
4.480550 -5.991980
10.915450 -12.747534
0.155464 -1.684170
0.601711 -2.491230
0.013409 -3.598773
0.176835 -2.044709
0.001193 -1.295247
0.094333 -1.169401
0.341489 -1.895336
0.203663 -2.147111
0.848251 -4.522276
0.158427 -2.026861
0.009906 -1.304005
0.148485 -1.223599
0.302611 -1.857629
0.238078 -2.181089
0.786969 -4.465172
0.143188 -2.012032
0.024398 -1.318515
0.166712 -1.241870
0.279317 -1.835021
0.269597 -2.212210
0.730162 -4.412128
0.118743 -1.988208
0.051695 -1.345682
0.195263 -1.270463
0.246054 -1.802661
0.319043 -2.260985
0.621469 -4.310545
0.102268 -1.972255
0.076486 -1.370305
0.220949 -1.296260
