Abs(f18) "f2*(f20 - Abs(f18))/f0" f1*f18**2/f2
0.691849 -2.600792 0.476899
0.074195 -3.654406 0.005507
0.162783 -2.033932 0.026511
0.023329 -1.319122 0.000544
0.057820 -1.136307 0.003343
0.275989 -1.832186 0.076231
0.289514 -2.235388 0.083751
0.819231 -4.510516 0.672686
0.054173 -1.942177 0.002935
0.150463 -1.456510 0.022630
0.316186 -1.403796 0.099884
0.101869 -1.686695 0.010380
0.581507 -2.567973 0.337620
1.033432 -4.730468 1.070970
0.005060 -1.906196 0.000026
0.236721 -1.561504 0.056000
0.040949 -1.142795 0.001677
1.227602 -2.832351 1.512146
0.931476 -2.945940 0.865446
2.361908 -6.077917 5.614281
2.410924 -4.358483 5.851643
0.909161 -2.223002 0.828752
0.469872 -1.554296 0.220471
0.263003 -1.838033 0.069223
0.637161 -2.603200 0.405251
7.852523 -11.483045 63.003996
0.179876 -2.060261 0.032373
0.233635 -1.535864 0.054546
0.598270 -1.682296 0.357261
0.212620 -1.787031 0.045236
0.776430 -2.745259 0.601478
3.723899 -7.399110 14.015303
2.208570 -4.079964 4.911731
0.995582 -2.298440 0.994387
0.886969 -1.973607 0.784404
0.980380 -2.542696 0.964122
0.972471 -2.943462 0.942873
0.643026 -4.311515 0.414287
0.354173 -2.222441 0.125590
0.162543 -1.459990 0.026405
0.600539 -1.679750 0.359869
0.403714 -1.963444 0.163208
0.633157 -2.584242 0.400053
0.205559 -3.897302 0.042283
0.276176 -2.146655 0.076357
0.118660 -1.417372 0.014073
0.514729 -1.595818 0.264370
0.224332 -1.794104 0.050280
0.626465 -2.581933 0.391502
0.326552 -4.000247 0.106503
0.482887 -2.338149 0.232565
0.282146 -1.569487 0.079479
4.278950 -5.628643 17.882558
0.464604 -2.006846 0.215322
1.050073 -2.965418 1.096770
0.429500 -4.031293 0.184087
3.419991 -5.367059 11.461772
0.169111 -1.446499 0.028568
0.333731 -1.395891 0.111137
0.046016 -1.579412 0.002117
0.501995 -2.405934 0.251305
0.024577 -3.596955 0.000604
0.199193 -2.066920 0.039703
0.076417 -1.368893 0.005841
0.007517 -1.084348 0.000057
0.477190 -2.025324 0.228050
0.033455 -1.979927 0.001119
1.175769 -4.839324 1.387366
0.080820 -1.970668 0.006533
0.199655 -1.507413 0.039841
0.406954 -1.496446 0.165431
0.028497 -1.616105 0.000812
0.783117 -2.772673 0.612043
1.166883 -4.875951 1.365716
0.244210 -2.145290 0.059675
0.622182 -1.951633 0.386479
0.960559 -2.077995 0.920294
1.599997 -3.212198 2.570626
1.032198 -3.067211 1.062629
2.629879 -6.359790 6.962639
2.774366 -4.742984 7.752294
0.866115 -2.220146 0.751894
2.964971 -4.087866 8.863066
3.425656 -5.072034 11.841873
0.855302 -2.874833 0.733176
5.070984 -8.842858 26.052380
6.338029 -8.289842 40.866825
0.203581 -1.507538 0.041421
0.612025 -1.697193 0.373907
6.031990 -7.633522 36.996110
0.971353 -2.943642 0.941004
6.214057 -9.879581 39.267790
1.950219 -3.832795 3.825079
1.329296 -2.633707 1.774102
1.274894 -2.367748 1.618998
1.076300 -2.643733 1.162106
0.249791 -2.230706 0.062351
0.743659 -4.425669 0.554205
0.405317 -2.275960 0.164493
0.110527 -1.410299 0.012212
0.638543 -1.719391 0.406872
0.462518 -2.025705 0.214236
0.604725 -2.561661 0.365013
0.206183 -3.913929 0.042539
0.354662 -2.229938 0.125950
0.067189 -1.369891 0.004513
0.553350 -1.638875 0.305535
0.237571 -1.815955 0.056389
0.574571 -2.543020 0.329438
0.439790 -4.144671 0.193105
1.057294 -2.921742 1.111882
1.684569 -2.973427 2.812707
2.143123 -3.332139 4.541975
0.952760 -2.505010 0.903387
2.085371 -4.011306 4.305251
0.686752 -4.324496 0.470107
6.293856 -8.270010 37.922006
0.182575 -1.455857 0.033288
11.666184 -13.502706 124.995825
0.128845 -1.655616 0.016587
0.615849 -2.504389 0.377790
0.019068 -3.592858 0.000364
0.242308 -2.108154 0.058760
0.081301 -1.373032 0.006612
0.015852 -1.092237 0.000251
0.467957 -2.015604 0.219313
0.081047 -2.025501 0.006567
1.097751 -4.756383 1.209160
0.228891 -2.095167 0.052431
0.067643 -1.359623 0.004577
0.027123 -1.103511 0.000736
0.428634 -1.977309 0.183979
0.118479 -2.062293 0.014032
1.061207 -4.724002 1.129857
0.220917 -2.087178 0.048840
0.061985 -1.353971 0.003843
0.040756 -1.117177 0.001661
0.393973 -1.943524 0.155410
0.152393 -2.095608 0.023213
1.081303 -4.745785 1.173122
0.197670 -2.064612 0.039099
0.024117 -1.317600 0.000582
0.056956 -1.133372 0.003243
0.338770 -1.889754 0.114889
0.202420 -2.144752 0.040948
0.938402 -4.612095 0.883150
0.177896 -2.045355 0.031665
0.001986 -1.296083 0.000004
0.071112 -1.147604 0.005056
0.280760 -1.833356 0.078896
0.257959 -2.199429 0.066491
0.865634 -4.545998 0.751321
0.160783 -2.028643 0.025865
0.022084 -1.316044 0.000488
0.082354 -1.158923 0.006780
0.255975 -1.809197 0.065577
0.298411 -2.239247 0.088968
0.826518 -4.512203 0.684875
0.155894 -2.023871 0.024315
0.032196 -1.326086 0.001036
0.099486 -1.175773 0.009894
0.244659 -1.798163 0.059904
0.311686 -2.252353 0.097056
0.789606 -4.478328 0.624997
0.149574 -2.017704 0.022383
0.040550 -1.334394 0.001644
0.116112 -1.192495 0.013477
0.252966 -1.806246 0.064043
0.325179 -2.265671 0.105636
0.750957 -4.442630 0.565245
0.142325 -2.010626 0.020266
0.048104 -1.341908 0.002314
0.126423 -1.202779 0.015976
0.245486 -1.798929 0.060311
0.338979 -2.279298 0.114788
0.714617 -4.409018 0.511806
0.130493 -1.999097 0.017036
0.060915 -1.354677 0.003710
0.231841 -1.785600 0.053790
0.365394 -2.305428 0.133363
0.640002 -4.340178 0.410416
0.032481 -1.908325 0.001055
0.223635 -1.519438 0.049975
0.395049 -1.473235 0.155853
0.064080 -1.629629 0.004107
0.622984 -2.567958 0.387346
0.314791 -4.019915 0.099192
0.078936 -1.964583 0.006229
0.310757 -1.615589 0.096471
0.417800 -1.505985 0.174312
0.285514 -1.865153 0.081594
0.447236 -2.426615 0.199737
0.858067 -4.559837 0.738271
0.290915 -2.179789 0.084711
0.216251 -1.305593 0.046730
0.801691 -2.372555 0.644383
0.396607 -2.369932 0.157099
0.906992 -4.587004 0.824973
0.056374 -1.936515 0.003179
0.252052 -1.552117 0.063478
0.567179 -1.649283 0.321079
0.179769 -1.749367 0.032335
0.246879 -3.945067 0.060996
0.010981 -1.894952 0.000121
0.232465 -1.534887 0.053997
0.994920 -2.080656 0.986438
