materials,property,E,E_tet,E_oct,A,B,C,Cation,Metal,Anion,U,ELN_A,ELN_B,ELN_X,DELNAX,DELNBX,R_AX,R_BX,U_emp,E_site,oxidation_state,E_metal,OCV
CaCu2O4,0.6729515,-293.5944543,-284.8211228,-285.434299,8.771009854,8.771009854,8.771009854,0.99,0.57,1.4,0.393752672,1,1.9,3.44,5.9536,2.3716,2.39,1.97,0.402992035,-0.61317623,2,-2,3.386665755
AlCu2O4,0.76324593,-319.0189033,-306.6302063,-307.3934522,8.252221941,8.252221941,8.252221941,0.53,0.57,1.4,0.376664555,1.61,1.9,3.44,3.3489,2.3716,1.93,1.97,0.385615761,-0.76324593,3,-3.75,2.879565687
LiZn2O4,0.19252638,-241.2023784,-234.5553265,-234.4150762,8.51107436,8.51107436,8.51107436,0.76,0.74,1.4,0.385705543,0.98,1.65,3.44,6.0516,3.2041,2.16,2.14,0.388329831,0.1402503,1,-1.906,4.74105184
NaZn2O4,0.17974666,-231.3899042,-226.0352099,-226.060046,8.885610096,8.885610096,8.885610096,1.02,0.74,1.4,0.394486661,0.93,1.65,3.44,6.3001,3.2041,2.42,2.14,0.396474097,-0.02483618,1,-1.315,4.03969432
KZn2O4,0.3783327,-223.6788121,-219.3141284,-219.4172342,9.324502968,9.324502968,9.324502968,1.38,0.74,1.4,0.402588647,0.82,1.65,3.44,6.8644,3.2041,2.78,2.14,0.405018848,-0.10310587,1,-1.09375,3.27093371
MgZn2O4,0.5308261,-262.1938148,-252.8311921,-252.8997543,8.584189164,8.584189164,8.584189164,0.72,0.74,1.4,0.384203018,1.31,1.65,3.44,4.5369,3.2041,2.12,2.14,0.3868516,-0.06856219,2,-1.595,3.88381136
CaZn2O4,0.58130667,-268.8388826,-259.0720789,-259.476874,8.949808806,8.949808806,8.949808806,0.99,0.74,1.4,0.392359888,1,1.65,3.44,5.9536,3.2041,2.39,2.14,0.39564007,-0.40479508,2,-2,3.88340184
AlZn2O4,0.94729812,-302.210298,-287.427128,-287.5312876,8.376067843,8.376067843,8.376067843,0.53,0.74,1.4,0.375038867,1.61,1.65,3.44,3.3489,3.2041,1.93,2.14,0.378580798,-0.10415961,3,-3.75,3.677723337
LiY2O4,0.65156119,-428.5315024,-421.3831049,-421.4999481,9.546920575,9.546920575,9.546920575,0.76,0.9,1.4,0.387660363,0.98,1.22,3.44,6.0516,4.9284,2.16,2.3,0.38300469,-0.11684322,1,-1.906,5.24239754
NaY2O4,0.6573627,-424.0946857,-418.2080492,-417.914138,9.761300372,9.761300372,9.761300372,1.02,0.9,1.4,0.392848281,0.93,1.22,3.44,6.3001,4.9284,2.42,2.3,0.391037275,0.29391112,1,-1.315,4.57163659
KY2O4,0.56243361,-421.1376772,-415.9300996,-415.6311017,10.05273945,10.05273945,10.05273945,1.38,0.9,1.4,0.399059752,0.82,1.22,3.44,6.8644,4.9284,2.78,2.3,0.399464852,0.29899782,1,-1.09375,4.11382765
MgY2O4,0.76636531,-452.1322631,-442.2202975,-441.4539322,9.348641672,9.348641672,9.348641672,0.72,0.9,1.4,0.380953642,1.31,1.22,3.44,4.5369,4.9284,2.12,2.3,0.38154673,0.76636531,2,-1.595,4.1584828
CaY2O4,0.46870836,-466.7039147,-455.2808079,-454.9143632,9.645270554,9.645270554,9.645270554,0.99,0.9,1.4,0.388039447,1,1.22,3.44,5.9536,4.9284,2.39,2.3,0.390214684,0.36644464,2,-2,4.711553415
AlY2O4,2.2528505,-462.814742,-457.7313038,-455.4784533,9.071629512,9.071629512,9.071629512,0.53,0.9,1.4,0.365819793,1.61,1.22,3.44,3.3489,4.9284,1.93,2.3,0.373389346,2.2528505,3,-3.75,0.44447938
LiZr2O4,0.37571554,-474.3943741,-471.2729726,-470.897257,9.075888824,9.075888824,9.075888824,0.76,0.72,1.4,0.388071694,0.98,1.33,3.44,6.0516,4.4521,2.16,2.12,0.389081091,0.37571554,1,-1.906,1.21540151
NaZr2O4,0.42646791,-467.7507527,-465.4771678,-465.1158219,9.269190938,9.269190938,9.269190938,1.02,0.72,1.4,0.392891449,0.93,1.33,3.44,6.3001,4.4521,2.42,2.12,0.397241113,0.36134588,1,-1.315,0.95858487
KZr2O4,0.34863458,-459.9469746,-458.4893724,-458.2318572,9.553266409,9.553266409,9.553266409,1.38,0.72,1.4,0.399244132,0.82,1.33,3.44,6.8644,4.4521,2.78,2.12,0.405802394,0.25751523,1,-1.09375,0.36385219
MgZr2O4,1.19044191,-466.162191,-464.1733063,-462.9828644,8.960476675,8.960476675,8.960476675,0.72,0.72,1.4,0.377844248,1.31,1.33,3.44,4.5369,4.4521,2.12,2.12,0.3876,1.19044191,2,-1.595,0.196942355
